Episode ,Reward
1,700
2,650
3,900
4,450
5,750
6,700
7,400
8,500
9,650
10,750
11,900
12,300
13,600
14,950
15,750
16,900
17,450
18,650
19,550
20,600
21,900
22,750
23,800
24,450
25,750
26,900
27,850
28,800
29,450
30,750
31,300
32,500
33,900
34,750
35,850
36,550
37,650
38,700
39,950
40,900
41,550
42,850
43,250
44,450
45,900
46,500
47,650
48,700
49,150
50,600
51,900
52,700
53,800
54,800
55,900
56,500
57,750
58,900
59,850
60,650
61,550
62,850
63,750
64,50
65,800
66,850
67,500
68,650
69,700
70,300
71,650
72,400
73,350
74,350
75,900
76,900
77,700
78,650
79,850
80,600
81,850
82,900
83,50
84,200
85,450
86,600
87,500
88,400
89,400
90,900
91,850
92,800
93,800
94,550
95,900
96,600
97,50
98,350
99,900
100,550
101,250
102,800
103,650
104,650
105,450
106,700
107,600
108,900
109,900
110,900
111,800
112,800
113,300
114,850
115,750
116,750
117,750
118,500
119,550
120,650
121,700
122,900
123,850
124,650
125,600
126,900
127,600
128,350
129,600
130,650
131,500
132,700
133,450
134,900
135,750
136,700
137,800
138,350
139,900
140,800
141,800
142,100
143,250
144,650
145,650
146,650
147,950
148,750
149,850
150,800
151,450
152,750
153,750
154,900
155,750
156,300
157,950
158,750
159,800
160,900
161,500
162,800
163,500
164,400
165,600
166,500
167,550
168,800
169,900
170,450
171,900
172,150
173,700
174,500
175,750
176,850
177,850
178,900
179,450
180,650
181,900
182,850
183,350
184,750
185,400
186,400
187,400
188,750
189,700
190,550
191,900
192,900
193,900
194,0
195,900
196,600
197,800
198,400
199,600
200,900
201,750
202,900
203,700
204,750
205,650
206,750
207,900
208,500
209,550
210,750
211,900
212,650
213,850
214,650
215,500
216,450
217,700
218,650
219,650
220,800
221,750
222,900
223,800
224,700
225,650
226,400
227,900
228,750
229,800
230,950
231,900
232,650
233,850
234,300
235,650
236,500
237,350
238,350
239,850
240,550
241,700
242,650
243,900
244,750
245,900
246,550
247,900
248,900
249,750
250,100
251,850
252,750
253,700
254,500
255,500
256,50
257,650
258,450
259,900
260,450
261,800
262,800
263,600
264,650
265,650
266,750
267,900
268,750
269,950
270,700
271,800
272,750
273,900
274,700
275,850
276,900
277,850
278,900
279,150
280,600
281,550
282,650
283,900
284,700
285,750
286,500
287,450
288,500
289,650
290,800
291,650
292,800
293,850
294,600
295,800
296,850
297,750
298,700
299,0
300,300
301,500
302,800
303,300
304,650
305,450
306,600
307,800
308,500
309,800
310,400
311,450
312,700
313,450
314,300
315,800
316,400
317,900
318,450
319,800
320,900
321,450
322,850
323,150
324,350
325,900
326,400
327,500
328,500
329,800
330,900
331,750
332,900
333,450
334,900
335,650
336,800
337,700
338,800
339,800
340,900
341,300
342,900
343,250
344,600
345,500
346,550
347,750
348,300
349,650
350,600
351,900
352,750
353,700
354,850
355,600
356,900
357,650
358,550
359,400
360,250
361,850
362,900
363,850
364,650
365,650
366,750
367,850
368,700
369,700
370,700
371,900
372,900
373,800
374,300
375,800
376,600
377,650
378,900
379,850
380,850
381,750
382,750
383,900
384,500
385,450
386,900
387,550
388,400
389,650
390,650
391,550
392,600
393,750
394,850
395,750
396,650
397,550
398,750
399,750
400,50
401,600
402,950
403,350
404,650
405,800
406,900
407,550
408,550
409,450
410,750
411,700
412,900
413,700
414,550
415,900
416,700
417,600
418,750
419,350
420,450
421,600
422,800
423,900
424,900
425,600
426,750
427,900
428,900
429,900
430,700
431,700
432,400
433,650
434,200
435,650
436,900
437,850
438,650
439,400
440,800
441,700
442,700
443,800
444,550
445,700
446,850
447,650
448,550
449,700
450,150
451,750
452,900
453,150
454,450
455,700
456,400
457,450
458,850
459,550
460,250
461,600
462,500
463,-50
464,450
465,550
466,800
467,700
468,600
469,850
470,650
471,750
472,750
473,-150
474,300
475,950
476,450
477,800
478,900
479,300
480,700
481,600
482,300
483,700
484,700
485,900
486,650
487,950
488,900
489,850
490,800
491,750
492,500
493,550
494,400
495,800
496,650
497,650
498,350
499,550
500,850
501,900
502,500
503,650
504,450
505,600
506,900
507,900
508,650
509,700
510,900
511,500
512,800
513,900
514,350
515,100
516,650
